workers,batch,total_time,seq_time,par_time,par_fraction,checksum
1,1,41.5916,0.6761,40.9154,0.9837,152806641
1,1,8.3716,0.0317,8.3400,0.9962,152806641
1,1,8.2720,0.0314,8.2407,0.9962,152806641
1,2,8.1795,0.0318,8.1477,0.9961,152806641
1,2,6.1166,0.0229,6.0937,0.9963,152806641
1,2,6.1259,0.0236,6.1023,0.9962,152806641
1,4,6.4027,0.0226,6.3801,0.9965,152806641
1,4,6.2254,0.0226,6.2027,0.9964,152806641
1,4,6.3190,0.0224,6.2967,0.9965,152806641
1,8,6.4717,0.0227,6.4490,0.9965,152806641
1,8,6.3852,0.0229,6.3623,0.9964,152806641
1,8,6.4091,0.0231,6.3861,0.9964,152806641
1,16,6.6021,0.0230,6.5791,0.9965,152806641
1,16,6.6102,0.0229,6.5873,0.9965,152806641
1,16,6.5690,0.0227,6.5463,0.9965,152806641
1,32,6.8688,0.0227,6.8460,0.9967,152806641
1,32,6.7513,0.0231,6.7283,0.9966,152806641
1,32,6.7901,0.0231,6.7670,0.9966,152806641
1,64,7.0236,0.0223,7.0012,0.9968,152806641
1,64,7.1324,0.0227,7.1097,0.9968,152806641
1,64,7.0485,0.0229,7.0256,0.9968,152806641
1,128,7.3063,0.0234,7.2829,0.9968,152806641
1,128,7.5432,0.0227,7.5204,0.9970,152806641
1,128,7.2557,0.0224,7.2333,0.9969,152806641
1,256,7.6046,0.0232,7.5814,0.9970,152806641
1,256,7.6190,0.0230,7.5960,0.9970,152806641
1,256,7.7413,0.0229,7.7185,0.9970,152806641
1,512,8.0890,0.0227,8.0662,0.9972,152806641
1,512,7.8202,0.0226,7.7976,0.9971,152806641
1,512,8.0678,0.0228,8.0450,0.9972,152806641
1,1024,7.8406,0.0228,7.8178,0.9971,152806641
1,1024,7.8432,0.0228,7.8204,0.9971,152806641
1,1024,7.9984,0.0227,7.9757,0.9972,152806641
2,1,6.8132,0.0224,6.7908,0.9967,152806641
2,1,6.8677,0.0231,6.8447,0.9966,152806641
2,1,6.6698,0.0229,6.6469,0.9966,152806641
2,2,6.6991,0.0227,6.6764,0.9966,152806641
2,2,6.6700,0.0230,6.6470,0.9966,152806641
2,2,6.5653,0.0231,6.5422,0.9965,152806641
2,4,6.0392,0.0230,6.0162,0.9962,152806641
2,4,6.2550,0.0235,6.2314,0.9962,152806641
2,4,6.4408,0.0228,6.4180,0.9965,152806641
2,8,6.2260,0.0230,6.2030,0.9963,152806641
2,8,6.2793,0.0230,6.2563,0.9963,152806641
2,8,6.3053,0.0238,6.2815,0.9962,152806641
2,16,6.3643,0.0226,6.3418,0.9965,152806641
2,16,6.2804,0.0229,6.2575,0.9964,152806641
2,16,6.3147,0.0231,6.2915,0.9963,152806641
2,32,6.4511,0.0227,6.4285,0.9965,152806641
2,32,6.5590,0.0226,6.5364,0.9966,152806641
2,32,6.4387,0.0232,6.4155,0.9964,152806641
2,64,6.5220,0.0225,6.4995,0.9965,152806641
2,64,6.4059,0.0226,6.3833,0.9965,152806641
2,64,6.4710,0.0229,6.4481,0.9965,152806641
2,128,6.2721,0.0228,6.2493,0.9964,152806641
2,128,6.3065,0.0229,6.2836,0.9964,152806641
2,128,6.4605,0.0226,6.4379,0.9965,152806641
2,256,6.3705,0.0230,6.3475,0.9964,152806641
2,256,6.4762,0.0227,6.4535,0.9965,152806641
2,256,6.5754,0.0225,6.5529,0.9966,152806641
2,512,6.4237,0.0249,6.3987,0.9961,152806641
2,512,6.3871,0.0231,6.3640,0.9964,152806641
2,512,6.5374,0.0227,6.5147,0.9965,152806641
2,1024,6.4559,0.0225,6.4334,0.9965,152806641
2,1024,6.5523,0.0230,6.5293,0.9965,152806641
2,1024,6.5096,0.0224,6.4872,0.9966,152806641
4,1,7.1964,0.0228,7.1736,0.9968,152806641
4,1,7.0961,0.0227,7.0734,0.9968,152806641
4,1,7.1187,0.0235,7.0952,0.9967,152806641
4,2,7.3791,0.0227,7.3564,0.9969,152806641
4,2,7.3219,0.0227,7.2991,0.9969,152806641
4,2,7.3713,0.0231,7.3482,0.9969,152806641
4,4,7.4058,0.0227,7.3832,0.9969,152806641
4,4,7.4376,0.0228,7.4148,0.9969,152806641
4,4,7.3899,0.0231,7.3668,0.9969,152806641
4,8,7.3982,0.0229,7.3753,0.9969,152806641
4,8,7.3804,0.0236,7.3567,0.9968,152806641
4,8,7.0569,0.0228,7.0341,0.9968,152806641
4,16,7.1576,0.0233,7.1343,0.9967,152806641
4,16,7.2976,0.0226,7.2750,0.9969,152806641
4,16,7.1313,0.0231,7.1082,0.9968,152806641
4,32,7.0484,0.0226,7.0258,0.9968,152806641
4,32,7.1763,0.0233,7.1529,0.9968,152806641
4,32,7.0721,0.0225,7.0496,0.9968,152806641
4,64,7.1954,0.0227,7.1726,0.9968,152806641
4,64,7.0227,0.0224,7.0002,0.9968,152806641
4,64,7.2092,0.0227,7.1865,0.9969,152806641
4,128,7.0126,0.0228,6.9898,0.9967,152806641
4,128,7.1174,0.0227,7.0948,0.9968,152806641
4,128,6.9249,0.0231,6.9018,0.9967,152806641
4,256,7.0095,0.0228,6.9866,0.9967,152806641
4,256,6.9587,0.0227,6.9360,0.9967,152806641
4,256,6.9623,0.0224,6.9398,0.9968,152806641
4,512,7.0606,0.0226,7.0380,0.9968,152806641
4,512,7.2536,0.0229,7.2307,0.9968,152806641
4,512,7.0003,0.0230,6.9773,0.9967,152806641
4,1024,6.9806,0.0223,6.9582,0.9968,152806641
4,1024,6.9825,0.0224,6.9601,0.9968,152806641
4,1024,7.0007,0.0227,6.9780,0.9968,152806641
8,1,7.2383,0.0227,7.2156,0.9969,152806641
8,1,7.1034,0.0233,7.0801,0.9967,152806641
8,1,7.0708,0.0226,7.0482,0.9968,152806641
8,2,7.2733,0.0227,7.2506,0.9969,152806641
8,2,7.3616,0.0230,7.3385,0.9969,152806641
8,2,7.2642,0.0227,7.2415,0.9969,152806641
8,4,7.5436,0.0225,7.5211,0.9970,152806641
8,4,7.5027,0.0231,7.4796,0.9969,152806641
8,4,7.4721,0.0226,7.4494,0.9970,152806641
8,8,7.7243,0.0224,7.7019,0.9971,152806641
8,8,7.6772,0.0229,7.6543,0.9970,152806641
8,8,7.7923,0.0228,7.7695,0.9971,152806641
8,16,7.7703,0.0225,7.7478,0.9971,152806641
8,16,7.7736,0.0227,7.7508,0.9971,152806641
8,16,7.7344,0.0225,7.7119,0.9971,152806641
8,32,7.9373,0.0230,7.9143,0.9971,152806641
8,32,7.6859,0.0225,7.6635,0.9971,152806641
8,32,8.0011,0.0231,7.9780,0.9971,152806641
8,64,7.6084,0.0227,7.5857,0.9970,152806641
8,64,7.8542,0.0227,7.8315,0.9971,152806641
8,64,7.8106,0.0226,7.7881,0.9971,152806641
8,128,7.8502,0.0224,7.8278,0.9971,152806641
8,128,7.8555,0.0226,7.8329,0.9971,152806641
8,128,7.8324,0.0227,7.8097,0.9971,152806641
8,256,7.8133,0.0229,7.7905,0.9971,152806641
8,256,6.6647,0.0227,6.6420,0.9966,152806641
8,256,6.9126,0.0215,6.8911,0.9969,152806641
8,512,7.2089,0.0221,7.1868,0.9969,152806641
8,512,7.1483,0.0222,7.1261,0.9969,152806641
8,512,7.4337,0.0221,7.4115,0.9970,152806641
8,1024,7.3295,0.0218,7.3077,0.9970,152806641
8,1024,7.5577,0.0223,7.5354,0.9971,152806641
8,1024,7.4931,0.0217,7.4714,0.9971,152806641
16,1,7.3357,0.0218,7.3138,0.9970,152806641
16,1,7.4436,0.0220,7.4216,0.9970,152806641
16,1,7.3043,0.0222,7.2821,0.9970,152806641
16,2,7.5269,0.0224,7.5045,0.9970,152806641
16,2,7.4868,0.0229,7.4640,0.9969,152806641
16,2,7.4656,0.0229,7.4427,0.9969,152806641
16,4,7.4769,0.0236,7.4533,0.9968,152806641
16,4,7.3166,0.0234,7.2932,0.9968,152806641
16,4,7.5524,0.0217,7.5308,0.9971,152806641
16,8,7.8724,0.0217,7.8507,0.9972,152806641
16,8,7.8904,0.0218,7.8686,0.9972,152806641
16,8,7.8846,0.0223,7.8623,0.9972,152806641
16,16,8.3344,0.0229,8.3115,0.9973,152806641
16,16,8.1218,0.0217,8.1001,0.9973,152806641
16,16,8.1088,0.0216,8.0872,0.9973,152806641
16,32,8.3008,0.0219,8.2789,0.9974,152806641
16,32,8.2126,0.0218,8.1908,0.9973,152806641
16,32,8.3061,0.0217,8.2844,0.9974,152806641
16,64,8.1302,0.0228,8.1074,0.9972,152806641
16,64,8.2197,0.0228,8.1969,0.9972,152806641
16,64,7.7939,0.0220,7.7718,0.9972,152806641
16,128,7.6958,0.0219,7.6739,0.9972,152806641
16,128,7.8234,0.0222,7.8012,0.9972,152806641
16,128,7.9661,0.0217,7.9444,0.9973,152806641
16,256,8.0078,0.0217,7.9861,0.9973,152806641
16,256,8.0902,0.0216,8.0686,0.9973,152806641
16,256,8.3711,0.0218,8.3493,0.9974,152806641
16,512,7.8189,0.0218,7.7971,0.9972,152806641
16,512,7.5154,0.0224,7.4930,0.9970,152806641
16,512,8.0511,0.0217,8.0294,0.9973,152806641
16,1024,7.8187,0.0230,7.7957,0.9971,152806641
16,1024,7.9878,0.0217,7.9660,0.9973,152806641
16,1024,7.8416,0.0219,7.8198,0.9972,152806641
32,1,7.2341,0.0227,7.2115,0.9969,152806641
32,1,7.2865,0.0219,7.2646,0.9970,152806641
32,1,7.2044,0.0223,7.1822,0.9969,152806641
32,2,7.0334,0.0219,7.0114,0.9969,152806641
32,2,7.0467,0.0220,7.0247,0.9969,152806641
32,2,7.0477,0.0221,7.0256,0.9969,152806641
32,4,7.2052,0.0219,7.1832,0.9970,152806641
32,4,7.2750,0.0222,7.2529,0.9970,152806641
32,4,6.9636,0.0218,6.9419,0.9969,152806641
32,8,6.8195,0.0221,6.7974,0.9968,152806641
32,8,6.8937,0.0221,6.8716,0.9968,152806641
32,8,6.9965,0.0222,6.9742,0.9968,152806641
32,16,7.1509,0.0222,7.1287,0.9969,152806641
32,16,7.1827,0.0224,7.1604,0.9969,152806641
32,16,7.2417,0.0222,7.2196,0.9969,152806641
32,32,7.3107,0.0220,7.2888,0.9970,152806641
32,32,7.5520,0.0221,7.5299,0.9971,152806641
32,32,7.3367,0.0226,7.3141,0.9969,152806641
32,64,6.6412,0.0221,6.6191,0.9967,152806641
32,64,6.8498,0.0219,6.8280,0.9968,152806641
32,64,6.9214,0.0218,6.8995,0.9968,152806641
32,128,7.0262,0.0220,7.0043,0.9969,152806641
32,128,7.1121,0.0219,7.0902,0.9969,152806641
32,128,7.1559,0.0222,7.1337,0.9969,152806641
32,256,7.0804,0.0220,7.0584,0.9969,152806641
32,256,6.8455,0.0220,6.8234,0.9968,152806641
32,256,6.7998,0.0226,6.7773,0.9967,152806641
32,512,6.9718,0.0220,6.9498,0.9968,152806641
32,512,6.9939,0.0220,6.9719,0.9969,152806641
32,512,7.2688,0.0221,7.2467,0.9970,152806641
32,1024,7.2427,0.0221,7.2206,0.9969,152806641
32,1024,7.3400,0.0221,7.3179,0.9970,152806641
32,1024,7.3816,0.0222,7.3595,0.9970,152806641
64,1,7.3243,0.0222,7.3021,0.9970,152806641
64,1,6.9254,0.0221,6.9033,0.9968,152806641
64,1,6.9323,0.0221,6.9102,0.9968,152806641
64,2,7.0700,0.0221,7.0479,0.9969,152806641
64,2,7.0834,0.0220,7.0614,0.9969,152806641
64,2,7.1695,0.0222,7.1473,0.9969,152806641
64,4,7.1901,0.0221,7.1680,0.9969,152806641
64,4,7.3397,0.0222,7.3175,0.9970,152806641
64,4,7.2789,0.0227,7.2563,0.9969,152806641
64,8,7.4001,0.0224,7.3777,0.9970,152806641
64,8,6.9997,0.0219,6.9779,0.9969,152806641
64,8,7.0399,0.0222,7.0177,0.9968,152806641
64,16,7.2694,0.0220,7.2474,0.9970,152806641
64,16,7.1671,0.0222,7.1449,0.9969,152806641
64,16,6.9822,0.0224,6.9598,0.9968,152806641
64,32,7.1155,0.0225,7.0930,0.9968,152806641
64,32,7.3655,0.0221,7.3434,0.9970,152806641
64,32,7.2215,0.0228,7.1987,0.9968,152806641
64,64,7.2675,0.0220,7.2455,0.9970,152806641
64,64,7.1924,0.0225,7.1699,0.9969,152806641
64,64,7.2272,0.0228,7.2044,0.9968,152806641
64,128,7.3317,0.0222,7.3095,0.9970,152806641
64,128,7.2307,0.0228,7.2079,0.9968,152806641
64,128,7.1049,0.0223,7.0826,0.9969,152806641
64,256,7.3348,0.0222,7.3126,0.9970,152806641
64,256,7.5421,0.0228,7.5193,0.9970,152806641
64,256,7.1167,0.0227,7.0940,0.9968,152806641
